bank_txn_id,date,amount,type,counterparty_account,narration,utr_number
BNK-20260301-1031,2026-03-01,8991.09,credit,XXXXXX5033,UPI/ANITAGUPTA/9864193837/INV1031,UTR202603011031791
BNK-20260304-1061,2026-03-04,2840.15,credit,XXXXXX6238,UPI/PRIYASINGH/9988776655/INV1061,
BNK-20260302-1043,2026-03-02,846.51,credit,XXXXXX5371,NEFT-CR-HDFC0005065-SHREYAGUPTA-INV1043,UTR202603021043854
BNK-20260302-1063,2026-03-02,3287.53,credit,XXXXXX8633,UPI/PRIYACHOPRA/9988776655/INV1063,
BNK-20260305-1032,2026-03-05,1663.43,credit,XXXXXX6183,IMPS-P2A-9885863-ADITYASHARMA-INV1032,UTR202603051032773
BNK-20260305-1018,2026-03-05,12147.35,credit,XXXXXX8787,IMPS-P2A-9826879-PRIYAVERMA-INV1018,UTR202603051018878
BNK-20260302-1042,2026-03-02,5543.91,credit,XXXXXX4878,NEFT-CR-HDFC0003532-KARANNAIR-INV1042,UTR202603021042673
BNK-20260302-1057,2026-03-03,1521.35,credit,XXXXXX8612,UPI/SHREYAPILLAI/9871265269/INV1057,UTR202603021057355
BNK-20260303-1052,2026-03-03,7520.21,credit,XXXXXX4501,NEFT-CR-ICIC0008244-NEHACHOPRA-INV1052,UTR202603031052429
BNK-20260305-1019,2026-03-05,12953.03,credit,XXXXXX6107,UPI/VIKRAMMEHTA/9882383095/INV1019,UTR202603051019533
BNK-20260304-1066,2026-03-04,5398.12,credit,XXXXXX4613,DIRECT-DEP-UNKNOWN-REMITTER-672661,UTR202603041066852
BNK-20260301-1010,2026-03-01,6222.14,credit,XXXXXX4483,UPI/DEEPAKSHARMA/9886125617/INV1010,UTR202603011010167
BNK-20260306-1040,2026-03-06,8503.65,credit,XXXXXX1590,UPI/SUNITAAGARWAL/9830005727/INV1040,UTR202603061040214
BNK-20260302-1054,2026-03-02,9674.75,credit,XXXXXX8784,UPI/KARANSINGH/9816202700/INV1054,UTR202603021054250
BNK-20260304-1051,2026-03-04,5672.59,credit,XXXXXX5978,NEFT-CR-ICIC0001006-KARANRAO-INV1051,UTR202603041051408
BNK-20260306-1030,2026-03-06,8836.02,credit,XXXXXX9320,IMPS-P2A-9831130-POOJASHARMA-INV1030,UTR202603061030614
BNK-20260305-1009,2026-03-05,7094.73,credit,XXXXXX6313,IMPS-P2A-9884752-TANVINAIR-INV1009,UTR202603051009376
BNK-20260301-1017,2026-03-01,770.67,credit,XXXXXX4946,NEFT-CR-HDFC0001949-ADITYAJOSHI-INV1017,UTR202603011017471
BNK-20260304-1006,2026-03-04,12338.47,credit,XXXXXX2139,NEFT-CR-HDFC0004150-PRIYAAGARWAL-INV1006,UTR202603041006733
BNK-20260301-1062,2026-03-01,3681.88,credit,XXXXXX3503,TRF FRM RAHUL REDDY FOR BILL INV1062 VIA CORP NETBANKING,
BNK-20260303-1034,2026-03-03,7037.96,credit,XXXXXX4492,UPI/NAVEENVERMA/9819832887/INV1034,UTR202603031034676
BNK-20260304-1064,2026-03-04,3730.59,credit,XXXXXX1320,TRF FRM SURESH IYER FOR BILL INV1064 VIA CORP NETBANKING,
BNK-20260303-1021,2026-03-03,3779.11,credit,XXXXXX4750,UPI/RAMESHBOSE/9819528530/INV1021,UTR202603031021325
