ledger_entry_id,order_id,merchant_id,expected_settlement_date,gross_amount,razorpay_fee,refund_amount,counterparty_name,invoice_ref,status,utr_number
LEDG-001054,order_659914afd,merchant_44109,2026-03-02,9872.19,197.44,0.0,Karan Singh,INV1054,settled,UTR202603021054250
LEDG-001060,order_3447465d4,merchant_99012,2026-03-03,5625.96,101.27,0.0,Naveen Pillai,INV1060,settled,
LEDG-001033,order_8c17fd334,merchant_44109,2026-03-03,4351.41,65.27,0.0,Neha Joshi,INV1033,settled,UTR202603031033234
LEDG-001048,order_c9bc404dd,merchant_99012,2026-03-05,10894.55,217.89,0.0,Divya Patel,INV1048,settled,UTR202603051048294
LEDG-001003,order_f574ac1be,merchant_99012,2026-03-06,3696.39,55.45,0.0,Swati Agarwal,INV1003,settled,UTR202603061003703
LEDG-001041,order_360d4e0d9,merchant_44109,2026-03-03,6731.91,100.98,0.0,Meera Agarwal,INV1041,settled,UTR202603031041142
LEDG-001055,order_aae95e6b4,merchant_99012,2026-03-05,5558.85,111.18,0.0,Anita Verma,INV1055,settled,UTR202603051055744
LEDG-001070,order_4e616ddd9,merchant_88213,2026-03-01,4124.93,82.5,0.0,Arjun Nair,INV1070,failed,
LEDG-001022,order_da0bffc57,merchant_88213,2026-03-01,7955.26,119.33,0.0,Suresh Joshi,INV1022,settled,UTR202603011022385
LEDG-001037,order_0f84d27ab,merchant_19283,2026-03-06,2173.72,32.61,0.0,Ananya Reddy,INV1037,settled,UTR202603061037209
LEDG-001005,order_c3bf9f8e1,merchant_33219,2026-03-03,4335.55,65.03,0.0,Anita Das,INV1005,settled,UTR202603031005144
LEDG-001021,order_37105d028,merchant_33219,2026-03-03,3836.66,57.55,0.0,Ramesh Bose,INV1021,settled,UTR202603031021325
LEDG-001050,order_d9f0c4a36,merchant_99012,2026-03-03,4588.01,91.76,0.0,Divya Singh,INV1050,settled,UTR202603031050813
LEDG-001025,order_9fddbf119,merchant_88213,2026-03-04,4105.52,61.58,0.0,Tanvi Joshi,INV1025,settled,UTR202603041025294
LEDG-001017,order_3237c1714,merchant_99012,2026-03-01,782.41,11.74,0.0,Aditya Joshi,INV1017,settled,UTR202603011017471
LEDG-001040,order_7be452ec1,merchant_99012,2026-03-06,8633.15,129.5,0.0,Sunita Agarwal,INV1040,settled,UTR202603061040214
LEDG-001035,order_3b03bc082,merchant_19283,2026-03-05,13272.53,199.09,0.0,Sneha Reddy,INV1035,settled,UTR202603051035350
LEDG-001066,order_6070e99c7,merchant_44109,2026-03-01,13269.07,265.38,0.0,Swati Chopra,INV1066,pending,UTR-UNSETTLED-1066
LEDG-001007,order_60a54b029,merchant_19283,2026-03-01,14785.71,221.79,0.0,Karan Nair,INV1007,settled,UTR202603011007975
LEDG-001071,order_f078ff6b8,merchant_44109,2026-03-01,1797.44,35.95,0.0,Naveen Kumar,INV1071,failed,
LEDG-001008,order_c4a4b18bf,merchant_44109,2026-03-04,5867.62,88.01,0.0,Swati Das,INV1008,settled,UTR202603041008314
LEDG-001030,order_995a5f39d,merchant_88213,2026-03-06,8970.58,134.56,0.0,Pooja Sharma,INV1030,settled,UTR202603061030614
LEDG-001010,order_73fc208ce,merchant_19283,2026-03-01,6316.89,94.75,0.0,Deepak Sharma,INV1010,settled,UTR202603011010167
LEDG-001009,order_4f324760f,merchant_44109,2026-03-05,7202.77,108.04,0.0,Tanvi Nair,INV1009,settled,UTR202603051009376
LEDG-001038,order_72c6e31b8,merchant_19283,2026-03-03,3452.16,51.78,0.0,Aditya Iyer,INV1038,settled,UTR202603031038749
LEDG-001043,order_c60d3704e,merchant_99012,2026-03-02,859.4,12.89,0.0,Shreya Gupta,INV1043,settled,UTR202603021043854
